evapo_et0,wind_gusts_max,tmax,rain_sum,radiation_sum,apparent_tmin,apparent_tmax,wind_dir_dominant,wind_speed_max,tmin,prcp,date,sunshine_duration,precip_hours,latitude,longitude
3.4900,31.3000,30.4000,12.7000,17.0900,29.4000,36.9000,221.0000,14.1000,24.3000,12.7000,2020-06-22,30974.1600,10.0000,9.2941,105.7278
4.4000,25.6000,31.1000,7.9000,21.3300,29.3000,37.3000,199.0000,10.7000,24.0000,7.9000,2020-06-23,42835.3500,10.0000,9.2941,105.7278
4.4800,28.8000,31.4000,13.9000,21.3700,30.3000,38.0000,203.0000,11.9000,25.1000,13.9000,2020-06-24,42950.9700,10.0000,9.2941,105.7278
2.2500,24.1000,29.1000,8.1000,10.4800,29.6000,35.3000,211.0000,12.5000,24.3000,8.1000,2020-06-25,12094.1625,15.0000,9.2941,105.7278
2.3800,31.0000,30.6000,23.1500,11.2800,28.9000,36.0000,217.0000,15.3000,23.8000,23.1500,2020-06-26,20722.4400,15.0000,9.2941,105.7278
3.5200,30.2000,31.1000,6.4000,16.7500,28.8000,37.3000,235.0000,12.9000,24.3000,6.4000,2020-06-27,27010.2000,12.0000,9.2941,105.7278
3.0000,38.9000,29.4000,11.7000,14.5200,29.3000,34.2000,220.0000,18.4000,24.5000,11.7000,2020-06-28,32396.4900,15.0000,9.2941,105.7278
1.9600,43.9000,28.5000,9.1000,9.1500,28.9000,32.9000,237.0000,16.0000,24.5000,9.1000,2020-06-29,12094.1625,19.0000,9.2941,105.7278
2.7000,36.7000,29.6000,5.4000,12.7900,29.0000,35.0000,240.0000,13.4000,23.9000,5.4000,2020-06-30,25247.5000,10.0000,9.2941,105.7278
3.0400,37.4000,30.9000,1.8000,14.0500,30.1000,36.7000,247.0000,14.1000,24.6000,1.8000,2020-07-01,28053.2400,6.0000,9.2941,105.7278
3.6900,35.6000,31.2000,9.8000,18.1300,29.3000,37.6000,236.0000,15.0000,24.5000,9.8000,2020-07-02,39942.5000,10.0000,9.2941,105.7278
2.1300,34.2000,29.5000,12.2000,9.8200,29.8000,34.3000,239.0000,14.8000,24.8000,12.2000,2020-07-03,12094.1625,18.0000,9.2941,105.7278
2.4900,33.5000,28.7000,3.6000,10.5600,28.7000,31.8000,275.0000,15.8000,24.3000,3.6000,2020-07-04,19517.5900,12.0000,9.2941,105.7278
3.9100,37.4000,30.7000,7.2000,18.3100,27.5000,35.7000,271.0000,16.2000,23.9000,7.2000,2020-07-05,39772.3800,8.0000,9.2941,105.7278
2.3700,29.9000,29.2000,23.1500,11.2400,29.9000,34.5000,220.0000,13.9000,24.6000,23.1500,2020-07-06,24512.7800,14.0000,9.2941,105.7278
4.6600,33.8000,30.7000,1.0000,22.7800,29.1000,36.4000,183.0000,15.3000,24.2000,1.0000,2020-07-07,42882.5600,5.0000,9.2941,105.7278
2.7200,32.4000,29.7000,8.9000,13.4300,29.0000,35.6000,185.0000,14.8000,23.7000,8.9000,2020-07-08,23264.2900,8.0000,9.2941,105.7278
3.8700,29.5000,31.6000,6.7000,18.7100,28.6000,39.7000,246.0000,13.6000,23.6000,6.7000,2020-07-09,40778.9600,7.0000,9.2941,105.7278
3.0000,32.4000,29.3000,12.6000,14.3800,29.0000,34.4000,233.0000,15.3000,24.1000,12.6000,2020-07-10,31579.4600,13.0000,9.2941,105.7278
3.0200,36.7000,30.3000,23.1500,14.9300,29.0000,37.1000,220.0000,17.4000,24.3000,23.1500,2020-07-11,28458.6600,14.0000,9.2941,105.7278
3.4700,27.0000,31.0000,17.8000,17.0100,28.5000,38.4000,234.0000,12.5000,23.6000,17.8000,2020-07-12,28446.6400,12.0000,9.2941,105.7278
2.6600,31.0000,29.7000,21.7000,12.9400,28.7000,35.1000,243.0000,15.5000,24.0000,21.7000,2020-07-13,21912.5200,12.0000,9.2941,105.7278
4.1100,29.5000,31.5000,12.4000,18.9500,29.0000,38.3000,246.0000,12.2000,24.7000,12.4000,2020-07-14,35994.8800,15.0000,9.2941,105.7278
3.0500,31.7000,31.1000,4.3000,14.3800,30.7000,37.1000,245.0000,13.0000,24.9000,4.3000,2020-07-15,25402.0100,7.0000,9.2941,105.7278
3.3900,24.8000,30.0000,7.6000,16.5900,30.6000,37.0000,211.0000,11.6000,25.4000,7.6000,2020-07-16,36249.7000,12.0000,9.2941,105.7278
4.6300,25.9000,31.0000,1.0000,22.7400,29.2000,38.3000,189.0000,10.9000,24.0000,1.0000,2020-07-17,42773.3400,4.0000,9.2941,105.7278
4.3900,28.8000,30.8000,1.3000,21.1800,30.6000,37.4000,169.0000,12.5000,25.1000,1.3000,2020-07-18,42759.7400,7.0000,9.2941,105.7278
4.2000,27.4000,31.5000,8.2000,20.4200,30.9000,39.3000,213.0000,10.5000,24.8000,8.2000,2020-07-19,42745.6500,9.0000,9.2941,105.7278
3.8600,24.8000,31.1000,8.2000,18.5900,31.2000,37.5000,196.0000,8.0000,25.3000,8.2000,2020-07-20,41404.1600,9.0000,9.2941,105.7278
3.5200,27.7000,30.3000,5.3000,17.2300,30.0000,36.8000,103.0000,12.5000,24.1000,5.3000,2020-07-21,31010.5200,8.0000,9.2941,105.7278
4.4300,26.6000,30.5000,7.8000,21.6200,30.2000,37.1000,157.0000,11.0000,24.6000,7.8000,2020-07-22,42700.7000,14.0000,9.2941,105.7278
4.6400,32.8000,31.6000,1.8000,22.4000,30.6000,39.5000,208.0000,15.3000,25.0000,1.8000,2020-07-23,41210.4400,7.0000,9.2941,105.7278
3.3300,28.8000,29.8000,6.8000,16.0700,30.0000,36.1000,175.0000,12.8000,24.4000,6.8000,2020-07-24,33281.6800,9.0000,9.2941,105.7278
4.3400,29.9000,30.6000,2.8000,21.4800,28.8000,37.6000,170.0000,12.6000,23.8000,2.8000,2020-07-25,42652.0500,7.0000,9.2941,105.7278
4.2100,27.7000,30.7000,2.3000,19.9200,30.7000,37.1000,193.0000,10.8000,25.2000,2.3000,2020-07-26,42635.0900,11.0000,9.2941,105.7278
4.0700,37.4000,30.6000,6.5000,19.9500,30.0000,36.7000,212.0000,16.4000,24.4000,6.5000,2020-07-27,40089.1900,13.0000,9.2941,105.7278
3.7600,34.9000,30.3000,10.1000,18.6700,30.6000,37.0000,215.0000,16.4000,25.1000,10.1000,2020-07-28,41467.7000,10.0000,9.2941,105.7278
3.3900,36.0000,31.3000,15.1000,16.3900,29.0000,38.3000,264.0000,18.4000,24.2000,15.1000,2020-07-29,34906.5300,8.0000,9.2941,105.7278
3.2100,43.2000,29.2000,12.0000,15.2100,28.8000,33.6000,276.0000,20.1000,24.6000,12.0000,2020-07-30,27048.2000,12.0000,9.2941,105.7278
3.2400,49.7000,28.9000,12.7000,14.3100,29.5000,33.8000,258.0000,22.0000,25.4000,12.7000,2020-07-31,22513.9400,13.0000,9.2941,105.7278
2.6600,56.9000,29.7000,10.6000,11.8800,27.6000,34.0000,239.0000,25.1000,24.1000,10.6000,2020-08-01,12094.1625,21.0000,9.2941,105.7278
3.0500,59.7500,29.2000,12.3000,14.8500,28.3000,32.9000,232.0000,25.5000,24.7000,12.3000,2020-08-02,34665.5200,17.0000,9.2941,105.7278
2.5800,55.4000,29.3000,13.0000,11.7600,28.2000,34.6000,237.0000,19.0000,24.3000,13.0000,2020-08-03,18016.3700,17.0000,9.2941,105.7278
3.5700,48.2000,30.5000,5.7000,16.6800,29.0000,35.2000,241.0000,18.5000,24.3000,5.7000,2020-08-04,32929.2900,7.0000,9.2941,105.7278
